date,travel_time,distance
2024-10-07 05:22:29.780875, 1103, 12.768
2024-10-07 05:24:30.134754, 1176, 12.768
2024-10-07 05:26:30.321373, 1148, 12.768
2024-10-07 05:28:30.507355, 1217, 12.768
2024-10-07 05:30:30.728968, 1212, 12.768
2024-10-07 05:32:30.880954, 1268, 12.768
2024-10-07 05:34:31.031954, 1355, 12.768
2024-10-07 05:36:31.237635, 1414, 12.768
2024-10-07 05:38:31.456954, 1466, 12.768
2024-10-07 05:40:31.689234, 1519, 12.768
2024-10-07 05:42:31.865534, 1518, 12.768
2024-10-07 05:44:32.008950, 1370, 12.812
2024-10-07 05:46:32.216447, 1369, 12.812
2024-10-07 05:48:32.432695, 1521, 12.768
2024-10-07 05:50:32.648965, 1502, 12.768
2024-10-07 05:52:32.861591, 1470, 12.768
2024-10-07 05:54:33.032970, 1449, 12.768
2024-10-07 05:56:33.264995, 1445, 12.768
2024-10-07 05:58:33.448155, 1401, 12.768
2024-10-07 06:00:33.614628, 1357, 12.768
2024-10-07 06:02:33.826827, 1389, 12.768
2024-10-07 06:04:34.060071, 1368, 12.768
2024-10-07 06:06:34.254824, 1419, 12.768
2024-10-07 06:08:34.436541, 1422, 12.768
2024-10-07 06:10:34.624966, 1422, 12.768
2024-10-07 06:12:34.896953, 1410, 12.768
2024-10-07 06:14:35.129122, 1397, 12.768
2024-10-07 06:16:35.336755, 1413, 12.768
2024-10-07 06:18:35.510955, 1417, 12.768
2024-10-07 06:20:35.608528, 1423, 12.768
2024-10-07 06:22:35.848970, 1407, 12.768
2024-10-07 06:24:36.090939, 1409, 12.768
2024-10-07 06:26:36.393331, 1407, 12.768
2024-10-07 06:28:36.765462, 1382, 12.768
2024-10-07 06:30:36.960772, 1368, 12.768
2024-10-07 06:32:37.203113, 1373, 12.768
2024-10-07 06:34:37.438623, 1376, 12.768
2024-10-07 06:36:37.663855, 1397, 12.768
2024-10-07 06:38:37.856157, 1380, 12.768
2024-10-07 06:40:38.057006, 1375, 12.768
2024-10-07 06:42:38.318199, 1314, 12.768
2024-10-07 06:44:38.488014, 1316, 12.768
2024-10-07 06:46:38.656980, 1298, 12.768
2024-10-07 06:48:38.836029, 1304, 12.768
2024-10-07 06:50:38.979709, 1227, 12.768
2024-10-07 06:52:39.060764, 1200, 12.768
2024-10-07 06:54:39.234189, 1162, 12.768
2024-10-07 06:56:39.461940, 1188, 12.768
2024-10-07 06:58:39.669798, 1140, 12.768
2024-10-07 07:00:39.839144, 1124, 12.768
2024-10-07 07:02:40.068863, 1119, 12.768
2024-10-07 07:04:40.238319, 1086, 12.768
2024-10-07 07:06:40.328961, 1048, 12.768
2024-10-07 07:08:40.539644, 1043, 12.768
2024-10-07 07:10:40.720966, 998, 12.768
2024-10-07 07:12:40.857781, 1000, 12.768
2024-10-07 07:14:41.050286, 1009, 12.768
2024-10-07 07:16:41.256962, 983, 12.768
2024-10-07 07:18:41.412479, 971, 12.768
2024-10-07 07:20:41.617846, 977, 12.768
2024-10-07 07:22:41.874137, 966, 12.768
2024-10-07 07:24:42.071948, 947, 12.768
2024-10-07 07:26:42.304966, 939, 12.768
2024-10-07 07:28:42.504949, 919, 12.768
2024-10-07 07:30:42.653274, 919, 12.768
2024-10-07 07:32:42.838345, 916, 12.768
2024-10-07 07:34:43.078738, 933, 12.768
2024-10-07 07:36:43.208981, 973, 12.768
2024-10-07 07:38:43.472232, 955, 12.768
2024-10-07 07:40:43.595622, 896, 12.768
2024-10-07 07:42:43.772941, 879, 12.768
2024-10-07 07:44:43.977008, 847, 12.768
2024-10-07 07:46:44.168977, 846, 12.768
2024-10-07 07:48:44.365927, 834, 12.768
2024-10-07 07:50:44.581068, 830, 12.768
2024-10-07 07:52:44.791643, 832, 12.768
2024-10-07 07:54:44.984970, 835, 12.768
2024-10-07 07:56:45.198950, 837, 12.768
2024-10-07 07:58:45.357276, 838, 12.768
2024-10-07 08:00:45.573762, 837, 12.768
2024-10-07 08:02:45.712973, 840, 12.768
2024-10-07 08:04:45.854441, 835, 12.768
2024-10-07 08:06:46.046130, 838, 12.768
2024-10-07 08:08:46.219059, 837, 12.768
2024-10-07 08:10:46.400972, 840, 12.768
2024-10-07 08:12:46.600964, 839, 12.768
2024-10-07 08:14:46.728992, 843, 12.768
2024-10-07 08:16:46.883129, 839, 12.768
2024-10-07 08:18:47.089009, 839, 12.768
2024-10-07 08:20:47.240373, 839, 12.768
