date,travel_time,distance
2024-10-14 05:15:06.921652, 905, 12.768
2024-10-14 05:17:07.152812, 942, 12.768
2024-10-14 05:19:07.344818, 944, 12.768
2024-10-14 05:21:07.500881, 974, 12.768
2024-10-14 05:23:07.703032, 989, 12.768
2024-10-14 05:25:07.868641, 1028, 12.768
2024-10-14 05:27:08.020127, 1089, 12.768
2024-10-14 05:29:08.190331, 1158, 12.768
2024-10-14 05:31:08.353773, 1182, 12.768
2024-10-14 05:33:08.560858, 1275, 12.768
2024-10-14 05:35:08.668170, 1349, 12.768
2024-10-14 05:37:08.881119, 1459, 12.768
2024-10-14 05:39:09.051428, 1304, 12.812
2024-10-14 05:41:09.251961, 1502, 12.768
2024-10-14 05:43:09.459458, 1524, 12.768
2024-10-14 05:45:09.643671, 1529, 12.768
2024-10-14 05:47:09.827891, 1539, 12.768
2024-10-14 05:49:10.036885, 1566, 12.768
2024-10-14 05:51:10.210163, 1557, 12.768
2024-10-14 05:53:10.303214, 1561, 12.768
2024-10-14 05:55:10.400292, 1605, 12.768
2024-10-14 05:57:10.551833, 1563, 12.768
2024-10-14 05:59:10.760674, 1514, 12.768
2024-10-14 06:01:10.896814, 1484, 12.768
2024-10-14 06:03:11.055186, 1463, 12.768
2024-10-14 06:05:11.164811, 1450, 12.768
2024-10-14 06:07:11.307919, 1403, 12.768
2024-10-14 06:09:11.468363, 1450, 12.768
2024-10-14 06:11:11.628834, 1408, 12.768
2024-10-14 06:13:11.763048, 1282, 12.768
2024-10-14 06:15:11.931242, 1399, 12.768
2024-10-14 06:17:12.112128, 1370, 12.768
2024-10-14 06:19:12.296837, 1423, 12.768
2024-10-14 06:21:12.454517, 1384, 12.768
2024-10-14 06:23:12.660794, 1375, 12.768
2024-10-14 06:25:12.822193, 1402, 12.768
2024-10-14 06:27:13.022583, 1455, 12.768
2024-10-14 06:29:13.209952, 1493, 12.768
2024-10-14 06:31:13.349080, 1486, 12.768
2024-10-14 06:33:13.525175, 1474, 12.768
2024-10-14 06:35:13.680697, 1427, 12.768
2024-10-14 06:37:13.833149, 1426, 12.768
2024-10-14 06:39:13.991019, 1436, 12.768
2024-10-14 06:41:14.204887, 1447, 12.768
2024-10-14 06:43:14.432640, 1428, 12.768
2024-10-14 06:45:14.649670, 1428, 12.768
2024-10-14 06:47:14.788835, 1386, 12.768
2024-10-14 06:49:14.965090, 1264, 12.768
2024-10-14 06:51:15.080820, 1286, 12.768
2024-10-14 06:53:15.280854, 1277, 12.768
2024-10-14 06:55:15.387896, 1298, 12.768
2024-10-14 06:57:15.536820, 1298, 12.768
2024-10-14 06:59:15.645063, 1296, 12.768
2024-10-14 07:01:15.865165, 1294, 12.768
2024-10-14 07:03:16.024844, 1253, 12.768
2024-10-14 07:05:16.216332, 1196, 12.768
2024-10-14 07:07:16.392841, 1139, 12.768
2024-10-14 07:09:16.541120, 1094, 12.768
2024-10-14 07:11:16.673562, 1097, 12.768
2024-10-14 07:13:16.877121, 1049, 12.768
2024-10-14 07:15:17.105024, 1064, 12.768
2024-10-14 07:17:17.355735, 1065, 12.768
2024-10-14 07:19:17.533049, 1060, 12.768
2024-10-14 07:21:17.739420, 1063, 12.768
2024-10-14 07:23:17.888810, 1068, 12.768
2024-10-14 07:25:18.085301, 1046, 12.768
2024-10-14 07:27:18.158074, 1048, 12.768
2024-10-14 07:29:18.392858, 1004, 12.768
2024-10-14 07:31:18.563528, 1007, 12.768
2024-10-14 07:33:18.831052, 988, 12.768
2024-10-14 07:35:19.042026, 987, 12.768
2024-10-14 07:37:19.152888, 986, 12.768
2024-10-14 07:39:19.280835, 977, 12.768
2024-10-14 07:41:19.481010, 983, 12.768
2024-10-14 07:43:19.624836, 971, 12.768
2024-10-14 07:45:19.790633, 933, 12.768
2024-10-14 07:47:19.964582, 922, 12.768
2024-10-14 07:49:20.121793, 921, 12.768
2024-10-14 07:51:20.369140, 918, 12.768
2024-10-14 07:53:20.514842, 921, 12.768
2024-10-14 07:55:20.704508, 926, 12.768
2024-10-14 07:57:20.901009, 911, 12.768
2024-10-14 07:59:21.008814, 894, 12.768
2024-10-14 08:01:21.189995, 877, 12.768
2024-10-14 08:03:21.324196, 876, 12.768
2024-10-14 08:05:21.440812, 869, 12.768
2024-10-14 08:07:21.699503, 870, 12.768
2024-10-14 08:09:21.840865, 866, 12.768
2024-10-14 08:11:22.004272, 867, 12.768
2024-10-14 08:13:22.185881, 881, 12.768
