date,travel_time,distance
2024-10-03 05:21:02.098256, 1050, 12.768
2024-10-03 05:23:02.368988, 1104, 12.768
2024-10-03 05:25:02.483495, 1165, 12.768
2024-10-03 05:27:02.643481, 1399, 12.768
2024-10-03 05:29:02.819461, 1672, 12.768
2024-10-03 05:31:03.043484, 1658, 12.768
2024-10-03 05:33:03.235720, 1780, 12.768
2024-10-03 05:35:03.448575, 1225, 12.812
2024-10-03 05:37:03.837974, 1324, 12.812
2024-10-03 05:39:04.058461, 1388, 12.812
2024-10-03 05:41:04.282110, 1346, 12.945
2024-10-03 05:43:04.453853, 1458, 12.945
2024-10-03 05:45:04.657743, 1487, 12.945
2024-10-03 05:47:04.872491, 1524, 12.952
2024-10-03 05:49:05.052705, 1650, 12.945
2024-10-03 05:51:05.283495, 1576, 12.952
2024-10-03 05:53:05.507493, 1721, 12.945
2024-10-03 05:55:05.750140, 1532, 12.952
2024-10-03 05:57:05.974491, 1534, 12.952
2024-10-03 05:59:06.131497, 1377, 12.952
2024-10-03 06:01:06.390483, 1461, 12.952
2024-10-03 06:03:06.611495, 1429, 12.952
2024-10-03 06:05:06.811478, 1439, 12.952
2024-10-03 06:07:07.028234, 1463, 12.952
2024-10-03 06:09:07.228373, 1475, 12.952
2024-10-03 06:11:07.437959, 1498, 12.952
2024-10-03 06:13:07.634008, 1530, 12.952
2024-10-03 06:15:07.855627, 1500, 12.952
2024-10-03 06:17:08.195492, 1497, 12.952
2024-10-03 06:19:08.459105, 1557, 12.952
2024-10-03 06:21:08.643476, 1505, 12.952
2024-10-03 06:23:08.866015, 1483, 12.952
2024-10-03 06:25:09.166812, 1472, 12.952
2024-10-03 06:27:09.408651, 1739, 12.768
2024-10-03 06:29:09.679529, 1751, 12.768
2024-10-03 06:31:09.896614, 1465, 12.952
2024-10-03 06:33:10.067483, 1406, 12.952
2024-10-03 06:35:10.268114, 1413, 12.952
2024-10-03 06:37:10.470830, 1417, 12.952
2024-10-03 06:39:10.574716, 1324, 12.952
2024-10-03 06:41:10.725200, 1439, 12.952
2024-10-03 06:43:10.995478, 1426, 12.952
2024-10-03 06:45:11.274546, 1399, 12.952
2024-10-03 06:47:11.379506, 1339, 12.952
2024-10-03 06:49:11.596354, 1310, 12.952
2024-10-03 06:51:11.783879, 1251, 12.952
2024-10-03 06:53:11.963458, 1219, 12.952
2024-10-03 06:55:12.147531, 1190, 12.952
2024-10-03 06:57:12.341920, 1180, 12.952
2024-10-03 06:59:12.561310, 1193, 12.952
2024-10-03 07:01:12.819480, 1218, 12.952
2024-10-03 07:03:12.928199, 1256, 12.768
2024-10-03 07:05:13.164867, 1154, 12.768
2024-10-03 07:07:13.363489, 1121, 12.768
2024-10-03 07:09:13.571351, 1071, 12.768
2024-10-03 07:11:13.814901, 1052, 12.768
2024-10-03 07:13:14.024808, 1067, 12.768
2024-10-03 07:15:14.195518, 1052, 12.768
2024-10-03 07:17:14.433059, 1038, 12.768
2024-10-03 07:19:14.659510, 1025, 12.768
2024-10-03 07:21:14.845438, 1012, 12.768
2024-10-03 07:23:15.087336, 1013, 12.768
2024-10-03 07:25:15.229003, 1011, 12.768
2024-10-03 07:27:15.519871, 1004, 12.768
2024-10-03 07:29:15.747510, 996, 12.768
2024-10-03 07:31:15.925475, 937, 12.768
2024-10-03 07:33:16.104929, 934, 12.768
2024-10-03 07:35:16.307495, 937, 12.768
2024-10-03 07:37:16.532304, 924, 12.768
2024-10-03 07:39:16.713423, 937, 12.768
2024-10-03 07:41:16.865915, 926, 12.768
2024-10-03 07:43:17.041010, 920, 12.768
2024-10-03 07:45:17.267499, 903, 12.768
2024-10-03 07:47:17.523491, 865, 12.768
2024-10-03 07:49:17.729775, 847, 12.768
2024-10-03 07:51:17.907465, 843, 12.768
2024-10-03 07:53:18.143889, 846, 12.768
2024-10-03 07:55:18.339500, 844, 12.768
2024-10-03 07:57:18.512803, 831, 12.768
2024-10-03 07:59:18.713896, 833, 12.768
2024-10-03 08:01:18.899490, 829, 12.768
2024-10-03 08:03:19.085789, 830, 12.768
2024-10-03 08:05:19.323140, 829, 12.768
2024-10-03 08:07:19.455458, 829, 12.768
2024-10-03 08:09:19.674568, 829, 12.768
2024-10-03 08:11:19.889073, 834, 12.768
2024-10-03 08:13:20.083491, 833, 12.768
2024-10-03 08:15:20.279947, 833, 12.768
2024-10-03 08:17:20.467487, 838, 12.768
2024-10-03 08:19:20.627713, 848, 12.768
