date,travel_time,distance
2024-12-13 06:12:59.859430, 875, 12.768
2024-12-13 06:15:00.140708, 882, 12.768
2024-12-13 06:17:00.253689, 897, 12.768
2024-12-13 06:19:00.438371, 924, 12.768
2024-12-13 06:21:00.627976, 948, 12.768
2024-12-13 06:23:00.824413, 970, 12.768
2024-12-13 06:25:00.926921, 978, 12.768
2024-12-13 06:27:01.094900, 1008, 12.768
2024-12-13 06:29:01.213963, 1070, 12.768
2024-12-13 06:31:01.441220, 1081, 12.768
2024-12-13 06:33:01.566912, 1115, 12.768
2024-12-13 06:35:01.721706, 1186, 12.768
2024-12-13 06:37:01.873011, 1235, 12.768
2024-12-13 06:39:01.982098, 1255, 12.768
2024-12-13 06:41:02.123832, 1307, 12.768
2024-12-13 06:43:02.288857, 1381, 12.768
2024-12-13 06:45:02.378743, 1421, 12.768
2024-12-13 06:47:02.566958, 1376, 12.768
2024-12-13 06:49:02.686891, 1382, 12.768
2024-12-13 06:51:02.931804, 1450, 12.768
2024-12-13 06:53:03.061121, 1453, 12.768
2024-12-13 06:55:03.164915, 1452, 12.768
2024-12-13 06:57:03.382046, 1405, 12.768
2024-12-13 06:59:03.476179, 1416, 12.768
2024-12-13 07:01:03.596753, 1366, 12.768
2024-12-13 07:03:03.775363, 1375, 12.768
2024-12-13 07:05:03.877933, 1377, 12.768
2024-12-13 07:07:04.029445, 1330, 12.768
2024-12-13 07:09:04.217478, 1307, 12.768
2024-12-13 07:11:04.397684, 1349, 12.768
2024-12-13 07:13:04.579007, 1335, 12.768
2024-12-13 07:15:04.682854, 1322, 12.768
2024-12-13 07:17:04.856608, 1292, 12.768
2024-12-13 07:19:05.062704, 1301, 12.768
2024-12-13 07:21:05.249620, 1228, 12.768
2024-12-13 07:23:05.426560, 1231, 12.768
2024-12-13 07:25:05.653231, 1261, 12.768
2024-12-13 07:27:05.822932, 1285, 12.768
2024-12-13 07:29:05.961205, 1203, 12.768
2024-12-13 07:31:06.130546, 1155, 12.768
2024-12-13 07:33:06.254884, 1171, 12.768
2024-12-13 07:35:06.416751, 1168, 12.768
2024-12-13 07:37:06.558899, 1151, 12.768
2024-12-13 07:39:06.676801, 1113, 12.768
2024-12-13 07:41:06.921813, 1076, 12.768
2024-12-13 07:43:07.034986, 1081, 12.768
2024-12-13 07:45:07.172131, 1090, 12.768
2024-12-13 07:47:07.386501, 1107, 12.768
2024-12-13 07:49:07.557235, 1104, 12.768
2024-12-13 07:51:07.703156, 1055, 12.768
2024-12-13 07:53:07.934365, 1050, 12.768
2024-12-13 07:55:08.119104, 1053, 12.768
2024-12-13 07:57:08.296018, 1071, 12.768
2024-12-13 07:59:08.481950, 1065, 12.768
2024-12-13 08:01:08.630634, 1036, 12.768
2024-12-13 08:03:08.798877, 1019, 12.768
2024-12-13 08:05:08.967811, 999, 12.768
2024-12-13 08:07:09.135664, 982, 12.768
2024-12-13 08:09:09.361763, 949, 12.768
2024-12-13 08:11:09.518426, 939, 12.768
2024-12-13 08:13:09.683555, 923, 12.768
2024-12-13 08:15:09.815057, 943, 12.768
2024-12-13 08:17:09.991459, 949, 12.768
2024-12-13 08:19:10.203230, 971, 12.768
2024-12-13 08:21:10.357078, 969, 12.768
2024-12-13 08:23:10.500696, 946, 12.768
2024-12-13 08:25:10.614883, 970, 12.768
2024-12-13 08:27:10.794883, 973, 12.768
2024-12-13 08:29:10.980392, 960, 12.768
2024-12-13 08:31:11.138305, 931, 12.768
2024-12-13 08:33:11.394666, 923, 12.768
2024-12-13 08:35:11.486942, 927, 12.768
2024-12-13 08:37:11.648495, 895, 12.768
2024-12-13 08:39:11.850243, 894, 12.768
2024-12-13 08:41:11.979382, 882, 12.768
2024-12-13 08:43:12.148462, 878, 12.768
2024-12-13 08:45:12.347502, 870, 12.768
2024-12-13 08:47:12.463848, 873, 12.768
2024-12-13 08:49:12.702699, 868, 12.768
2024-12-13 08:51:12.840388, 868, 12.768
2024-12-13 08:53:13.005652, 875, 12.768
2024-12-13 08:55:13.098622, 872, 12.768
2024-12-13 08:57:13.260131, 873, 12.768
2024-12-13 08:59:13.394890, 876, 12.768
2024-12-13 09:01:13.551689, 874, 12.768
2024-12-13 09:03:13.755798, 879, 12.768
2024-12-13 09:05:13.920208, 877, 12.768
2024-12-13 09:07:14.088317, 871, 12.768
2024-12-13 09:09:14.226892, 870, 12.768
2024-12-13 09:11:14.474115, 864, 12.768
