date,travel_time,distance
2024-10-16 05:14:44.629072, 900, 12.768
2024-10-16 05:16:44.925271, 948, 12.768
2024-10-16 05:18:45.021428, 1025, 12.768
2024-10-16 05:20:45.214268, 1197, 12.768
2024-10-16 05:22:45.421465, 1283, 12.768
2024-10-16 05:24:45.599888, 1294, 12.768
2024-10-16 05:26:45.761444, 1375, 12.768
2024-10-16 05:28:45.931756, 1406, 12.768
2024-10-16 05:30:46.081456, 1140, 12.812
2024-10-16 05:32:46.262614, 1199, 12.812
2024-10-16 05:34:46.401459, 1367, 12.812
2024-10-16 05:36:46.561450, 1434, 12.812
2024-10-16 05:38:46.805233, 1502, 12.812
2024-10-16 05:40:46.963224, 1664, 12.812
2024-10-16 05:42:47.073438, 1639, 12.945
2024-10-16 05:44:47.248375, 1649, 12.952
2024-10-16 05:46:47.396220, 1667, 12.952
2024-10-16 05:48:47.581025, 1618, 12.945
2024-10-16 05:50:47.714788, 1699, 12.945
2024-10-16 05:52:47.907533, 1685, 12.945
2024-10-16 05:54:48.135116, 1679, 12.945
2024-10-16 05:56:48.257447, 1639, 12.945
2024-10-16 05:58:48.447746, 1619, 12.952
2024-10-16 06:00:48.570189, 1674, 12.952
2024-10-16 06:02:48.699419, 1669, 12.952
2024-10-16 06:04:48.904104, 1665, 12.952
2024-10-16 06:06:49.099266, 1625, 12.945
2024-10-16 06:08:49.272942, 1607, 12.952
2024-10-16 06:10:49.445496, 1672, 12.768
2024-10-16 06:12:49.602595, 1635, 12.768
2024-10-16 06:14:49.697450, 1539, 12.812
2024-10-16 06:16:49.843646, 1679, 12.768
2024-10-16 06:18:50.115886, 1482, 12.812
2024-10-16 06:20:50.216082, 1486, 12.812
2024-10-16 06:22:50.372188, 1450, 12.812
2024-10-16 06:24:50.471216, 1370, 12.812
2024-10-16 06:26:50.717211, 1570, 12.768
2024-10-16 06:28:50.828584, 1371, 12.812
2024-10-16 06:30:51.075703, 1529, 12.768
2024-10-16 06:32:51.265336, 1539, 12.768
2024-10-16 06:34:51.361470, 1534, 12.768
2024-10-16 06:36:51.555893, 1482, 12.768
2024-10-16 06:38:51.680202, 1484, 12.768
2024-10-16 06:40:51.812570, 1436, 12.768
2024-10-16 06:42:51.990806, 1422, 12.768
2024-10-16 06:44:52.189245, 1422, 12.768
2024-10-16 06:46:52.433359, 1414, 12.768
2024-10-16 06:48:52.592121, 1433, 12.768
2024-10-16 06:50:52.773485, 1367, 12.768
2024-10-16 06:52:52.933475, 1342, 12.768
2024-10-16 06:54:53.093452, 1322, 12.768
2024-10-16 06:56:53.267820, 1235, 12.768
2024-10-16 06:58:53.457275, 1172, 12.768
2024-10-16 07:00:53.633322, 1127, 12.768
2024-10-16 07:02:53.856796, 1142, 12.768
2024-10-16 07:04:53.986922, 1132, 12.768
2024-10-16 07:06:54.105841, 1127, 12.768
2024-10-16 07:08:54.275989, 1116, 12.768
2024-10-16 07:10:54.388219, 1129, 12.768
2024-10-16 07:12:54.517496, 1153, 12.768
2024-10-16 07:14:54.673455, 1144, 12.768
2024-10-16 07:16:54.817456, 1201, 12.768
2024-10-16 07:18:55.001496, 1178, 12.768
2024-10-16 07:20:55.267078, 1226, 12.768
2024-10-16 07:22:55.388653, 1292, 12.768
2024-10-16 07:24:55.544848, 1266, 12.768
2024-10-16 07:26:55.716037, 1198, 12.768
2024-10-16 07:28:55.905466, 1154, 12.768
2024-10-16 07:30:56.098897, 1119, 12.768
2024-10-16 07:32:56.193444, 1074, 12.768
2024-10-16 07:34:56.359273, 1065, 12.768
2024-10-16 07:36:56.557461, 1015, 12.768
2024-10-16 07:38:56.738785, 1012, 12.768
2024-10-16 07:40:56.899417, 995, 12.768
2024-10-16 07:42:57.077307, 1005, 12.768
2024-10-16 07:44:57.281440, 995, 12.768
2024-10-16 07:46:57.475002, 970, 12.768
2024-10-16 07:48:57.671003, 936, 12.768
2024-10-16 07:50:57.826551, 947, 12.768
2024-10-16 07:52:57.931080, 945, 12.768
2024-10-16 07:54:58.072797, 945, 12.768
2024-10-16 07:56:58.240365, 939, 12.768
2024-10-16 07:58:58.439875, 923, 12.768
2024-10-16 08:00:58.601461, 907, 12.768
2024-10-16 08:02:58.757463, 898, 12.768
2024-10-16 08:04:58.924713, 890, 12.768
2024-10-16 08:06:59.077452, 882, 12.768
2024-10-16 08:08:59.266051, 882, 12.768
2024-10-16 08:10:59.361453, 880, 12.768
2024-10-16 08:12:59.506476, 874, 12.768
