date,travel_time,distance
2024-11-28 06:12:46.343011, 858, 12.768
2024-11-28 06:14:46.596687, 856, 12.768
2024-11-28 06:16:46.764684, 876, 12.768
2024-11-28 06:18:46.950619, 897, 12.768
2024-11-28 06:20:47.129444, 929, 12.768
2024-11-28 06:22:47.298772, 970, 12.768
2024-11-28 06:24:47.471892, 1024, 12.768
2024-11-28 06:26:47.560177, 1066, 12.768
2024-11-28 06:28:47.696685, 1102, 12.768
2024-11-28 06:30:47.873200, 1148, 12.768
2024-11-28 06:32:48.055922, 1166, 12.768
2024-11-28 06:34:48.267072, 1197, 12.768
2024-11-28 06:36:48.489415, 1220, 12.768
2024-11-28 06:38:48.595583, 1271, 12.768
2024-11-28 06:40:48.767241, 1254, 12.768
2024-11-28 06:42:48.952559, 1324, 12.768
2024-11-28 06:44:49.068879, 1361, 12.768
2024-11-28 06:46:49.160684, 1357, 12.768
2024-11-28 06:48:49.321600, 1397, 12.768
2024-11-28 06:50:49.472689, 1400, 12.768
2024-11-28 06:52:49.579292, 1400, 12.768
2024-11-28 06:54:49.744693, 1374, 12.768
2024-11-28 06:56:49.821703, 1410, 12.768
2024-11-28 06:58:49.976235, 1425, 12.768
2024-11-28 07:00:50.140656, 1365, 12.768
2024-11-28 07:02:50.348916, 1297, 12.768
2024-11-28 07:04:50.519287, 1291, 12.768
2024-11-28 07:06:50.749082, 1256, 12.768
2024-11-28 07:08:50.856688, 1258, 12.768
2024-11-28 07:10:51.017306, 1233, 12.768
2024-11-28 07:12:51.173897, 1221, 12.768
2024-11-28 07:14:51.280688, 1273, 12.768
2024-11-28 07:16:51.434200, 1316, 12.768
2024-11-28 07:18:51.595551, 1259, 12.768
2024-11-28 07:20:51.772131, 1265, 12.768
2024-11-28 07:22:52.001229, 1237, 12.768
2024-11-28 07:24:52.171084, 1219, 12.768
2024-11-28 07:26:52.384463, 1220, 12.768
2024-11-28 07:28:52.473342, 1176, 12.768
2024-11-28 07:30:52.575479, 1183, 12.768
2024-11-28 07:32:52.756298, 1192, 12.768
2024-11-28 07:34:52.873550, 1200, 12.768
2024-11-28 07:36:53.052805, 1116, 12.768
2024-11-28 07:38:53.226831, 1160, 12.768
2024-11-28 07:40:53.351542, 1134, 12.768
2024-11-28 07:42:53.489309, 1124, 12.768
2024-11-28 07:44:53.671801, 1094, 12.768
2024-11-28 07:46:53.865364, 1109, 12.768
2024-11-28 07:48:54.037601, 1113, 12.768
2024-11-28 07:50:54.210999, 1099, 12.768
2024-11-28 07:52:54.365605, 1109, 12.768
2024-11-28 07:54:54.517467, 1075, 12.768
2024-11-28 07:56:54.640695, 1064, 12.768
2024-11-28 07:58:54.800693, 1063, 12.768
2024-11-28 08:00:55.013320, 1073, 12.768
2024-11-28 08:02:55.193385, 1066, 12.768
2024-11-28 08:04:55.293709, 1017, 12.768
2024-11-28 08:06:55.422527, 990, 12.768
2024-11-28 08:08:55.541324, 999, 12.768
2024-11-28 08:10:55.622086, 985, 12.768
2024-11-28 08:12:55.736230, 1009, 12.768
2024-11-28 08:14:55.885579, 1042, 12.768
2024-11-28 08:16:56.078463, 1018, 12.768
2024-11-28 08:18:56.272950, 990, 12.768
2024-11-28 08:20:56.444711, 967, 12.768
2024-11-28 08:22:56.625187, 990, 12.768
2024-11-28 08:24:56.720681, 994, 12.768
2024-11-28 08:26:56.845114, 976, 12.768
2024-11-28 08:28:56.975957, 960, 12.768
2024-11-28 08:30:57.158886, 944, 12.768
2024-11-28 08:32:57.328730, 938, 12.768
2024-11-28 08:34:57.488712, 933, 12.768
2024-11-28 08:36:57.649452, 911, 12.768
2024-11-28 08:38:57.814698, 907, 12.768
2024-11-28 08:40:57.992992, 898, 12.768
2024-11-28 08:42:58.183609, 902, 12.768
2024-11-28 08:44:58.330558, 905, 12.768
2024-11-28 08:46:58.446276, 908, 12.768
2024-11-28 08:48:58.677044, 899, 12.768
2024-11-28 08:50:58.792699, 900, 12.768
2024-11-28 08:52:58.957944, 879, 12.768
2024-11-28 08:54:59.088731, 871, 12.768
2024-11-28 08:56:59.226111, 854, 12.768
2024-11-28 08:58:59.368459, 841, 12.768
2024-11-28 09:00:59.547989, 844, 12.768
2024-11-28 09:02:59.726179, 853, 12.768
2024-11-28 09:04:59.901816, 867, 12.768
2024-11-28 09:06:59.980860, 863, 12.768
2024-11-28 09:09:00.176997, 866, 12.768
2024-11-28 09:11:00.351703, 864, 12.768
