date,travel_time,distance
2024-12-05 06:13:21.940957, 852, 12.768
2024-12-05 06:15:22.163867, 870, 12.768
2024-12-05 06:17:22.314558, 872, 12.768
2024-12-05 06:19:22.443773, 886, 12.768
2024-12-05 06:21:22.636398, 920, 12.768
2024-12-05 06:23:22.751863, 956, 12.768
2024-12-05 06:25:22.965054, 962, 12.768
2024-12-05 06:27:23.123865, 1034, 12.768
2024-12-05 06:29:23.343243, 1067, 12.768
2024-12-05 06:31:23.584301, 1078, 12.768
2024-12-05 06:33:23.759163, 1145, 12.768
2024-12-05 06:35:23.957009, 1203, 12.768
2024-12-05 06:37:24.079340, 1251, 12.768
2024-12-05 06:39:24.288999, 1211, 12.768
2024-12-05 06:41:24.467892, 1221, 12.768
2024-12-05 06:43:24.635865, 1325, 12.768
2024-12-05 06:45:24.789145, 1317, 12.768
2024-12-05 06:47:25.029331, 1292, 12.768
2024-12-05 06:49:25.175862, 1261, 12.768
2024-12-05 06:51:25.335861, 1237, 12.768
2024-12-05 06:53:25.481556, 1246, 12.768
2024-12-05 06:55:25.601914, 1202, 12.768
2024-12-05 06:57:25.719864, 1206, 12.768
2024-12-05 06:59:25.913165, 1209, 12.768
2024-12-05 07:01:26.117433, 1183, 12.768
2024-12-05 07:03:26.303896, 1171, 12.768
2024-12-05 07:05:26.543255, 1156, 12.768
2024-12-05 07:07:26.781927, 1139, 12.768
2024-12-05 07:09:26.943861, 1131, 12.768
2024-12-05 07:11:27.074380, 1128, 12.768
2024-12-05 07:13:27.274336, 1120, 12.768
2024-12-05 07:15:27.390160, 1139, 12.768
2024-12-05 07:17:27.656166, 1159, 12.768
2024-12-05 07:19:27.799857, 1147, 12.768
2024-12-05 07:21:27.996217, 1149, 12.768
2024-12-05 07:23:28.254860, 1078, 12.768
2024-12-05 07:25:28.447933, 1049, 12.768
2024-12-05 07:27:28.648530, 1036, 12.768
2024-12-05 07:29:28.797907, 1010, 12.768
2024-12-05 07:31:29.021264, 1021, 12.768
2024-12-05 07:33:29.221699, 1008, 12.768
2024-12-05 07:35:29.389781, 974, 12.768
2024-12-05 07:37:29.528998, 969, 12.768
2024-12-05 07:39:29.787862, 981, 12.768
2024-12-05 07:41:29.966240, 989, 12.768
2024-12-05 07:43:30.295857, 979, 12.768
2024-12-05 07:45:30.544433, 971, 12.768
2024-12-05 07:47:30.743990, 980, 12.768
2024-12-05 07:49:30.854070, 963, 12.768
2024-12-05 07:51:31.008493, 951, 12.768
2024-12-05 07:53:31.142093, 953, 12.768
2024-12-05 07:55:31.333276, 953, 12.768
2024-12-05 07:57:31.501953, 967, 12.768
2024-12-05 07:59:31.746214, 973, 12.768
2024-12-05 08:01:31.898268, 1000, 12.768
2024-12-05 08:03:32.023895, 942, 12.768
2024-12-05 08:05:32.119905, 928, 12.768
2024-12-05 08:07:32.300189, 922, 12.768
2024-12-05 08:09:32.470742, 925, 12.768
2024-12-05 08:11:32.713272, 931, 12.768
2024-12-05 08:13:32.956166, 918, 12.768
2024-12-05 08:15:33.193644, 917, 12.768
2024-12-05 08:17:33.331876, 925, 12.768
2024-12-05 08:19:33.572667, 935, 12.768
2024-12-05 08:21:33.763514, 929, 12.768
2024-12-05 08:23:33.919682, 928, 12.768
2024-12-05 08:25:34.071889, 927, 12.768
2024-12-05 08:27:34.295883, 921, 12.768
2024-12-05 08:29:34.485964, 920, 12.768
2024-12-05 08:31:34.683867, 901, 12.768
2024-12-05 08:33:34.801096, 902, 12.768
2024-12-05 08:35:34.887018, 894, 12.768
2024-12-05 08:37:35.055401, 891, 12.768
2024-12-05 08:39:35.223916, 874, 12.768
2024-12-05 08:41:35.437656, 878, 12.768
2024-12-05 08:43:35.575171, 873, 12.768
2024-12-05 08:45:35.691475, 860, 12.768
2024-12-05 08:47:35.848294, 852, 12.768
2024-12-05 08:49:36.105849, 857, 12.768
2024-12-05 08:51:36.334740, 871, 12.768
2024-12-05 08:53:36.471895, 869, 12.768
2024-12-05 08:55:36.649164, 850, 12.768
2024-12-05 08:57:36.819252, 863, 12.768
2024-12-05 08:59:37.017418, 867, 12.768
2024-12-05 09:01:37.143718, 860, 12.768
2024-12-05 09:03:37.308308, 865, 12.768
2024-12-05 09:05:37.534190, 869, 12.768
2024-12-05 09:07:37.702487, 850, 12.768
2024-12-05 09:09:37.879886, 860, 12.768
2024-12-05 09:11:38.103861, 864, 12.768
