date,travel_time,distance
2024-11-26 06:12:32.753250, 890, 12.768
2024-11-26 06:14:33.003646, 914, 12.768
2024-11-26 06:16:33.215517, 897, 12.768
2024-11-26 06:18:33.357278, 919, 12.768
2024-11-26 06:20:33.491625, 950, 12.768
2024-11-26 06:22:33.693496, 1029, 12.768
2024-11-26 06:24:33.807793, 1074, 12.768
2024-11-26 06:26:33.969542, 1136, 12.768
2024-11-26 06:28:34.131971, 1207, 12.768
2024-11-26 06:30:34.400837, 1189, 12.768
2024-11-26 06:32:34.530284, 1176, 12.768
2024-11-26 06:34:34.756078, 1253, 12.768
2024-11-26 06:36:34.885630, 1388, 12.768
2024-11-26 06:38:35.056708, 1382, 12.768
2024-11-26 06:40:35.237754, 1437, 12.768
2024-11-26 06:42:35.336646, 1481, 12.768
2024-11-26 06:44:35.504872, 1492, 12.768
2024-11-26 06:46:35.690692, 1521, 12.768
2024-11-26 06:48:35.913857, 1592, 12.768
2024-11-26 06:50:36.141809, 1620, 12.768
2024-11-26 06:52:36.333087, 1562, 12.768
2024-11-26 06:54:36.474682, 1530, 12.768
2024-11-26 06:56:36.651960, 1510, 12.768
2024-11-26 06:58:36.798682, 1561, 12.768
2024-11-26 07:00:36.968230, 1573, 12.768
2024-11-26 07:02:37.194710, 1532, 12.768
2024-11-26 07:04:37.336344, 1547, 12.768
2024-11-26 07:06:37.482673, 1577, 12.768
2024-11-26 07:08:37.702550, 1565, 12.768
2024-11-26 07:10:37.844766, 1565, 12.768
2024-11-26 07:12:38.041988, 1486, 12.768
2024-11-26 07:14:38.155659, 1403, 12.768
2024-11-26 07:16:38.358727, 1400, 12.768
2024-11-26 07:18:38.538693, 1275, 12.768
2024-11-26 07:20:38.681483, 1282, 12.768
2024-11-26 07:22:38.878949, 1318, 12.768
2024-11-26 07:24:39.008490, 1224, 12.768
2024-11-26 07:26:39.206541, 1104, 12.768
2024-11-26 07:28:39.344614, 1148, 12.768
2024-11-26 07:30:39.490655, 1148, 12.768
2024-11-26 07:32:39.662592, 1132, 12.768
2024-11-26 07:34:39.908539, 1106, 12.768
2024-11-26 07:36:40.062699, 1082, 12.768
2024-11-26 07:38:40.218650, 1062, 12.768
2024-11-26 07:40:40.385984, 1032, 12.768
2024-11-26 07:42:40.546140, 993, 12.768
2024-11-26 07:44:40.650700, 969, 12.768
2024-11-26 07:46:40.807609, 985, 12.768
2024-11-26 07:48:40.914707, 988, 12.768
2024-11-26 07:50:41.121960, 991, 12.768
2024-11-26 07:52:41.193553, 996, 12.768
2024-11-26 07:54:41.382661, 993, 12.768
2024-11-26 07:56:41.522257, 957, 12.768
2024-11-26 07:58:41.648664, 983, 12.768
2024-11-26 08:00:41.862198, 985, 12.768
2024-11-26 08:02:41.994684, 988, 12.768
2024-11-26 08:04:42.133815, 962, 12.768
2024-11-26 08:06:42.259627, 944, 12.768
2024-11-26 08:08:42.440541, 939, 12.768
2024-11-26 08:10:42.617283, 937, 12.768
2024-11-26 08:12:42.804923, 915, 12.768
2024-11-26 08:14:42.988791, 911, 12.768
2024-11-26 08:16:43.210694, 902, 12.768
2024-11-26 08:18:43.382718, 898, 12.768
2024-11-26 08:20:43.573907, 901, 12.768
2024-11-26 08:22:43.723242, 912, 12.768
2024-11-26 08:24:43.874734, 903, 12.768
2024-11-26 08:26:44.030680, 900, 12.768
2024-11-26 08:28:44.239741, 906, 12.768
2024-11-26 08:30:44.350689, 904, 12.768
2024-11-26 08:32:44.521133, 890, 12.768
2024-11-26 08:34:44.680922, 863, 12.768
2024-11-26 08:36:44.856390, 861, 12.768
2024-11-26 08:38:45.049685, 852, 12.768
2024-11-26 08:40:45.206682, 854, 12.768
2024-11-26 08:42:45.450193, 851, 12.768
2024-11-26 08:44:45.578670, 871, 12.768
2024-11-26 08:46:45.809944, 881, 12.768
2024-11-26 08:48:45.976073, 867, 12.768
2024-11-26 08:50:46.090690, 861, 12.768
2024-11-26 08:52:46.250727, 844, 12.768
2024-11-26 08:54:46.405848, 842, 12.768
2024-11-26 08:56:46.534691, 834, 12.768
2024-11-26 08:58:46.655647, 836, 12.768
2024-11-26 09:00:46.865886, 837, 12.768
2024-11-26 09:02:47.045144, 843, 12.768
2024-11-26 09:04:47.254389, 845, 12.768
2024-11-26 09:06:47.448736, 843, 12.768
2024-11-26 09:08:47.629399, 842, 12.768
2024-11-26 09:10:47.857122, 837, 12.768
