date,travel_time,distance
2024-12-20 06:11:58.156457, 874, 12.768
2024-12-20 06:13:58.411192, 895, 12.768
2024-12-20 06:15:58.603628, 897, 12.768
2024-12-20 06:17:58.778499, 885, 12.768
2024-12-20 06:19:58.983188, 919, 12.768
2024-12-20 06:21:59.215045, 918, 12.768
2024-12-20 06:23:59.431448, 911, 12.768
2024-12-20 06:25:59.527189, 940, 12.768
2024-12-20 06:27:59.695914, 955, 12.768
2024-12-20 06:29:59.876910, 986, 12.768
2024-12-20 06:32:00.082493, 1039, 12.768
2024-12-20 06:34:00.320888, 1071, 12.768
2024-12-20 06:36:00.524580, 1130, 12.768
2024-12-20 06:40:00.811157, 1097, 12.768
2024-12-20 06:42:01.007859, 1092, 12.768
2024-12-20 06:44:01.181009, 1121, 12.768
2024-12-20 06:46:01.394957, 1115, 12.768
2024-12-20 06:48:01.595427, 1180, 12.768
2024-12-20 06:50:01.851597, 1206, 12.768
2024-12-20 06:52:02.064629, 1181, 12.768
2024-12-20 06:54:02.231227, 1157, 12.768
2024-12-20 06:56:02.353539, 1118, 12.768
2024-12-20 06:58:02.517602, 1100, 12.768
2024-12-20 07:00:02.720683, 1086, 12.768
2024-12-20 07:02:02.880385, 1023, 12.768
2024-12-20 07:04:02.960730, 1026, 12.768
2024-12-20 07:06:03.180820, 1012, 12.768
2024-12-20 07:08:03.314683, 995, 12.768
2024-12-20 07:10:03.480695, 984, 12.768
2024-12-20 07:12:03.591193, 969, 12.768
2024-12-20 07:14:03.715184, 965, 12.768
2024-12-20 07:16:03.847192, 960, 12.768
2024-12-20 07:18:04.062539, 963, 12.768
2024-12-20 07:20:04.259189, 948, 12.768
2024-12-20 07:22:04.481924, 943, 12.768
2024-12-20 07:24:04.553749, 948, 12.768
2024-12-20 07:26:04.679201, 950, 12.768
2024-12-20 07:28:04.861122, 922, 12.768
2024-12-20 07:30:05.059193, 929, 12.768
2024-12-20 07:32:05.221105, 928, 12.768
2024-12-20 07:34:05.434512, 910, 12.768
2024-12-20 07:36:05.613571, 907, 12.768
2024-12-20 07:38:05.763218, 898, 12.768
2024-12-20 07:40:05.895190, 902, 12.768
2024-12-20 07:42:06.092313, 913, 12.768
2024-12-20 07:44:06.336545, 921, 12.768
2024-12-20 07:46:06.482000, 927, 12.768
2024-12-20 07:48:06.638975, 923, 12.768
2024-12-20 07:50:06.809274, 945, 12.768
2024-12-20 07:52:06.938249, 960, 12.768
2024-12-20 07:54:07.215284, 959, 12.768
2024-12-20 07:56:07.465067, 951, 12.768
2024-12-20 07:58:07.610391, 945, 12.768
2024-12-20 08:00:07.816895, 943, 12.768
2024-12-20 08:02:07.939197, 934, 12.768
2024-12-20 08:04:08.052308, 931, 12.768
2024-12-20 08:06:08.135202, 924, 12.768
2024-12-20 08:08:08.327202, 905, 12.768
2024-12-20 08:10:08.502498, 890, 12.768
2024-12-20 08:12:08.711178, 875, 12.768
2024-12-20 08:14:08.935187, 874, 12.768
2024-12-20 08:16:09.149988, 875, 12.768
2024-12-20 08:18:09.331187, 880, 12.768
2024-12-20 08:20:09.511518, 886, 12.768
2024-12-20 08:22:09.716295, 886, 12.768
2024-12-20 08:24:09.879681, 901, 12.768
2024-12-20 08:26:10.010447, 896, 12.768
2024-12-20 08:28:10.224607, 902, 12.768
2024-12-20 08:30:10.488757, 904, 12.768
2024-12-20 08:32:10.631191, 900, 12.768
2024-12-20 08:34:10.759186, 864, 12.768
2024-12-20 08:36:10.965863, 858, 12.768
2024-12-20 08:38:11.139507, 865, 12.768
2024-12-20 08:40:11.315404, 862, 12.768
2024-12-20 08:42:11.504948, 854, 12.768
2024-12-20 08:44:11.679147, 855, 12.768
2024-12-20 08:46:11.961624, 862, 12.768
2024-12-20 08:48:12.132178, 873, 12.768
2024-12-20 08:50:12.280865, 839, 12.768
2024-12-20 08:52:12.423188, 846, 12.768
2024-12-20 08:54:12.643198, 860, 12.768
2024-12-20 08:56:12.807769, 860, 12.768
2024-12-20 08:58:13.026024, 874, 12.768
2024-12-20 09:00:13.145521, 872, 12.768
2024-12-20 09:02:13.410256, 867, 12.768
2024-12-20 09:04:13.622581, 875, 12.768
2024-12-20 09:06:13.831191, 875, 12.768
2024-12-20 09:08:13.969959, 861, 12.768
2024-12-20 09:10:14.191950, 862, 12.768
