date,travel_time,distance
2024-11-20 06:12:39.206373, 901, 12.768
2024-11-20 06:14:39.507192, 926, 12.768
2024-11-20 06:16:39.715109, 895, 12.768
2024-11-20 06:18:39.918642, 918, 12.768
2024-11-20 06:20:40.026537, 937, 12.768
2024-11-20 06:22:40.111211, 940, 12.768
2024-11-20 06:24:40.295897, 942, 12.768
2024-11-20 06:26:40.455994, 1067, 12.768
2024-11-20 06:28:40.591227, 1159, 12.768
2024-11-20 06:30:40.853505, 1164, 12.768
2024-11-20 06:32:41.039203, 1273, 12.768
2024-11-20 06:34:41.187203, 1357, 12.768
2024-11-20 06:36:41.376920, 1267, 12.812
2024-11-20 06:38:41.602217, 1419, 12.768
2024-11-20 06:40:41.764900, 1417, 12.768
2024-11-20 06:42:41.982477, 1481, 12.768
2024-11-20 06:44:42.120801, 1465, 12.768
2024-11-20 06:46:42.392764, 1464, 12.768
2024-11-20 06:48:42.509251, 1501, 12.768
2024-11-20 06:50:42.724060, 1506, 12.768
2024-11-20 06:52:42.868785, 1545, 12.768
2024-11-20 06:54:43.088694, 1545, 12.768
2024-11-20 06:56:43.295496, 1522, 12.768
2024-11-20 06:58:43.439313, 1465, 12.768
2024-11-20 07:00:43.637256, 1315, 12.768
2024-11-20 07:02:43.875691, 1328, 12.768
2024-11-20 07:04:43.995214, 1341, 12.768
2024-11-20 07:06:44.158638, 1359, 12.768
2024-11-20 07:08:44.363350, 1336, 12.768
2024-11-20 07:10:44.565750, 1286, 12.768
2024-11-20 07:12:44.717031, 1257, 12.768
2024-11-20 07:14:44.911219, 1264, 12.768
2024-11-20 07:16:45.080386, 1297, 12.768
2024-11-20 07:18:45.240111, 1274, 12.768
2024-11-20 07:20:45.453367, 1232, 12.768
2024-11-20 07:22:45.666065, 1201, 12.768
2024-11-20 07:24:45.807216, 1193, 12.768
2024-11-20 07:26:45.934544, 1136, 12.768
2024-11-20 07:28:46.054058, 1117, 12.768
2024-11-20 07:30:46.205638, 1096, 12.768
2024-11-20 07:32:46.295200, 1049, 12.768
2024-11-20 07:34:46.447211, 1043, 12.768
2024-11-20 07:36:46.646973, 1045, 12.768
2024-11-20 07:38:46.858781, 1056, 12.768
2024-11-20 07:40:47.059370, 1078, 12.768
2024-11-20 07:42:47.210548, 1033, 12.768
2024-11-20 07:44:47.311204, 1037, 12.768
2024-11-20 07:46:47.507214, 1057, 12.768
2024-11-20 07:48:47.669982, 1070, 12.768
2024-11-20 07:50:47.843645, 1033, 12.768
2024-11-20 07:52:48.047253, 988, 12.768
2024-11-20 07:54:48.261897, 978, 12.768
2024-11-20 07:56:48.431238, 962, 12.768
2024-11-20 07:58:48.612908, 956, 12.768
2024-11-20 08:00:48.813152, 960, 12.768
2024-11-20 08:02:48.927221, 976, 12.768
2024-11-20 08:04:49.113379, 981, 12.768
2024-11-20 08:06:49.297991, 961, 12.768
2024-11-20 08:08:49.383402, 977, 12.768
2024-11-20 08:10:49.597155, 983, 12.768
2024-11-20 08:12:49.775926, 979, 12.768
2024-11-20 08:14:49.913077, 961, 12.768
2024-11-20 08:16:50.054257, 948, 12.768
2024-11-20 08:18:50.297406, 944, 12.768
2024-11-20 08:20:50.501390, 941, 12.768
2024-11-20 08:22:50.709009, 944, 12.768
2024-11-20 08:24:50.918456, 939, 12.768
2024-11-20 08:26:51.195092, 922, 12.768
2024-11-20 08:28:51.339197, 923, 12.768
2024-11-20 08:30:51.507217, 924, 12.768
2024-11-20 08:32:51.713309, 923, 12.768
2024-11-20 08:34:51.922999, 924, 12.768
2024-11-20 08:36:52.199270, 900, 12.768
2024-11-20 08:38:52.350164, 877, 12.768
2024-11-20 08:40:52.529554, 881, 12.768
2024-11-20 08:42:52.802967, 879, 12.768
2024-11-20 08:44:52.887535, 875, 12.768
2024-11-20 08:46:53.089647, 883, 12.768
2024-11-20 08:48:53.165902, 873, 12.768
2024-11-20 08:50:53.328446, 859, 12.768
2024-11-20 08:52:53.514068, 861, 12.768
2024-11-20 08:54:53.704087, 858, 12.768
2024-11-20 08:56:53.816586, 860, 12.768
2024-11-20 08:58:54.093922, 853, 12.768
2024-11-20 09:00:54.249155, 853, 12.768
2024-11-20 09:02:54.412568, 850, 12.768
2024-11-20 09:04:54.621683, 852, 12.768
2024-11-20 09:06:54.779211, 852, 12.768
2024-11-20 09:08:54.863222, 851, 12.768
2024-11-20 09:10:55.068556, 856, 12.768
