date,travel_time,distance
2024-11-13 06:11:47.524489, 941, 12.768
2024-11-13 06:13:47.791977, 983, 12.768
2024-11-13 06:15:47.983148, 972, 12.768
2024-11-13 06:17:48.117965, 993, 12.768
2024-11-13 06:19:48.245962, 1028, 12.768
2024-11-13 06:21:48.353973, 1072, 12.768
2024-11-13 06:23:48.542162, 1061, 12.768
2024-11-13 06:25:48.708362, 1147, 12.768
2024-11-13 06:27:48.911012, 1254, 12.768
2024-11-13 06:29:49.159574, 1297, 12.768
2024-11-13 06:31:49.315066, 1231, 12.768
2024-11-13 06:33:49.498025, 1252, 12.768
2024-11-13 06:35:49.676130, 1368, 12.768
2024-11-13 06:37:49.839757, 1382, 12.768
2024-11-13 06:39:50.049123, 1373, 12.768
2024-11-13 06:41:50.222595, 1379, 12.768
2024-11-13 06:43:50.439987, 1286, 12.768
2024-11-13 06:45:50.716162, 1293, 12.768
2024-11-13 06:47:50.866073, 1357, 12.768
2024-11-13 06:49:51.038015, 1364, 12.768
2024-11-13 06:51:51.246543, 1370, 12.768
2024-11-13 06:53:51.472898, 1287, 12.768
2024-11-13 06:55:51.657014, 1235, 12.768
2024-11-13 06:57:51.798669, 1165, 12.768
2024-11-13 06:59:52.012329, 1114, 12.768
2024-11-13 07:01:52.195927, 1065, 12.768
2024-11-13 07:03:52.354914, 1015, 12.768
2024-11-13 07:05:52.565931, 1041, 12.768
2024-11-13 07:07:52.789968, 949, 12.768
2024-11-13 07:09:52.953480, 921, 12.768
2024-11-13 07:11:53.045963, 909, 12.768
2024-11-13 07:13:53.174548, 921, 12.768
2024-11-13 07:15:53.309964, 917, 12.768
2024-11-13 07:17:53.453969, 918, 12.768
2024-11-13 07:19:53.601022, 903, 12.768
2024-11-13 07:21:53.781977, 915, 12.768
2024-11-13 07:23:53.986922, 906, 12.768
2024-11-13 07:25:54.237244, 909, 12.768
2024-11-13 07:27:54.309819, 899, 12.768
2024-11-13 07:29:54.512002, 886, 12.768
2024-11-13 07:31:54.671876, 908, 12.768
2024-11-13 07:33:54.845564, 899, 12.768
2024-11-13 07:35:54.937968, 894, 12.768
2024-11-13 07:37:55.093970, 905, 12.768
2024-11-13 07:39:55.259311, 893, 12.768
2024-11-13 07:41:55.441985, 878, 12.768
2024-11-13 07:43:55.563359, 910, 12.768
2024-11-13 07:45:55.661649, 927, 12.768
2024-11-13 07:47:55.818431, 917, 12.768
2024-11-13 07:49:55.957971, 918, 12.768
2024-11-13 07:51:56.084905, 919, 12.768
2024-11-13 07:53:56.307109, 910, 12.768
2024-11-13 07:55:56.515503, 894, 12.768
2024-11-13 07:57:56.700785, 897, 12.768
2024-11-13 07:59:56.834648, 882, 12.768
2024-11-13 08:01:57.028645, 896, 12.768
2024-11-13 08:03:57.141970, 880, 12.768
2024-11-13 08:05:57.286393, 883, 12.768
2024-11-13 08:07:57.459754, 876, 12.768
2024-11-13 08:09:57.670931, 897, 12.768
2024-11-13 08:11:57.834369, 910, 12.768
2024-11-13 08:13:58.069719, 916, 12.768
2024-11-13 08:15:58.215774, 927, 12.768
2024-11-13 08:17:58.425056, 929, 12.768
2024-11-13 08:19:58.573970, 936, 12.768
2024-11-13 08:21:58.709975, 918, 12.768
2024-11-13 08:23:58.859802, 913, 12.768
2024-11-13 08:25:58.931069, 900, 12.768
2024-11-13 08:27:59.105198, 897, 12.768
2024-11-13 08:29:59.374898, 897, 12.768
2024-11-13 08:31:59.573871, 890, 12.768
2024-11-13 08:33:59.778305, 882, 12.768
2024-11-13 08:35:59.869973, 893, 12.768
2024-11-13 08:38:00.070643, 891, 12.768
2024-11-13 08:40:00.183651, 884, 12.768
2024-11-13 08:42:00.257537, 894, 12.768
2024-11-13 08:44:00.373966, 895, 12.768
2024-11-13 08:46:00.534014, 895, 12.768
2024-11-13 08:48:00.677088, 902, 12.768
2024-11-13 08:50:00.833160, 900, 12.768
2024-11-13 08:52:01.032503, 907, 12.768
2024-11-13 08:54:01.137968, 906, 12.768
2024-11-13 08:56:01.365983, 894, 12.768
2024-11-13 08:58:01.464795, 886, 12.768
2024-11-13 09:00:01.685974, 884, 12.768
2024-11-13 09:02:01.889176, 890, 12.768
2024-11-13 09:04:02.016005, 889, 12.768
2024-11-13 09:06:02.181402, 889, 12.768
2024-11-13 09:08:02.458303, 877, 12.768
2024-11-13 09:10:02.684584, 880, 12.768
